package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank,cascade_impact
domutils,0.5406703078671281,1,0,0.0,0.0,3228971,235137277,332,1.0,0.05,0.0,0.0,0.962763336284871,0.7738433256435223,0.8100482083714435,1.0,dependency,74,1
on-finished,0.5393362436872902,5,1,1.795320625028052e-05,0.1,1780334,260003037,205,1.0,0.25,0.012048192771084338,0.018181818181818184,0.924519046188838,0.7842984123030542,0.7430665746231447,0.9,dependency,140,2
to-regex-range,0.5392218834317931,1,1,1.795320625028052e-05,0.0,5300496,358211999,1257,0.5,0.05,0.012048192771084338,0.018181818181818184,0.9946015586582293,0.8176252521294529,0.9954197268273937,1.0,seed,4,0
htmlparser2,0.5387635170918658,1,0,0.0,0.0,2705632,195508009,346,1.0,0.05,0.0,0.0,0.9514044397635946,0.7546471168231093,0.8157918071659767,1.0,dependency,83,1
jmespath,0.5385294507763795,1,0,0.0,0.0,136508,37584138,1265,1.0,0.05,0.0,0.0,0.7595477321130237,0.5831391044912902,0.9963038355797403,1.0,dependency,313,1
request-progress,0.5382032833584386,1,0,0.0,0.0,238036,26223839,1258,1.0,0.05,0.0,0.0,0.7952657930970256,0.5457059456788522,0.9955305474042538,1.0,dependency,286,1
vary,0.5374917001709492,3,0,0.0,0.0,4406042,198172139,205,1.0,0.15,0.0,0.0,0.9827290450223967,0.7560548074408059,0.7430665746231447,1.0,seed,33,1
formdata-polyfill,0.5372477363962943,1,0,0.0,0.0,54660,58352801,1266,1.0,0.05,0.0,0.0,0.7007554497163091,0.6288940019566576,0.996413956144988,1.0,dependency,373,1
isexe,0.5331975415458111,1,0,0.0,0.0,5752,454550953,855,1.0,0.05,0.0,0.0,0.5561303893195153,0.8423979412680558,0.9417235424352697,1.0,dependency,482,0
xmlbuilder,0.5330969300904487,3,0,0.0,0.3333333333333333,1052988,159247796,876,1.0,0.15,0.0,0.0,0.8907837770109385,0.733311322664096,0.9451037672813927,0.6666666666666667,dependency,211,1
safe-buffer,0.5326067429394011,3,0,0.0,0.0,1261649,732936435,878,0.5,0.15,0.0,0.0,0.9023970313313072,0.8920867343812877,0.9454214614703376,1.0,seed,172,1
debug,0.531507689212445,10,1,0.0001077192375016831,0.03636363636363636,1419208,1842160492,82,0.5,0.5,0.012048192771084338,0.10909090909090909,0.9099563963934711,0.9879424083218521,0.6162854860395595,0.9636363636363636,seed,161,1
@cypress/xvfb,0.5313854943924983,1,0,0.0,0.0,92179,23796360,1271,1.0,0.05,0.0,0.0,0.7343252411508117,0.5356031857663618,0.9969632585039043,1.0,dependency,334,1
is-typedarray,0.5308768987609485,1,0,0.0,0.0,5513,130690405,1265,1.0,0.05,0.0,0.0,0.5534047395648803,0.7127565768851234,0.9963038355797403,1.0,dependency,485,1
is-extglob,0.5308699360706287,1,0,0.0,0.0,5930,313635672,897,1.0,0.05,0.0,0.0,0.5580877792315244,0.8038035778998159,0.9484040017874735,1.0,dependency,480,0
get-port,0.5308387583824825,1,0,0.0,0.0,439877,57583144,625,1.0,0.05,0.0,0.0,0.834711894663321,0.6275130639559412,0.8980813126027815,1.0,dependency,269,1
ospath,0.5298485711500613,1,0,0.0,0.0,70827,24671917,1261,1.0,0.05,0.0,0.0,0.7173995103881421,0.53936123757977,0.9958624817663504,1.0,dependency,358,1
aws-sign2,0.529134176954051,1,0,0.0,0.0,9743,76779515,1271,1.0,0.05,0.0,0.0,0.5899788114059875,0.6574364411267127,0.9969632585039043,1.0,dependency,451,1
blob-util,0.5282002526621312,1,0,0.0,0.0,62400,22292537,1271,1.0,0.05,0.0,0.0,0.7092624095223076,0.5288136000911957,0.9969632585039043,1.0,dependency,367,1
cachedir,0.527355855935122,1,0,0.0,0.0,152551,33183196,865,1.0,0.05,0.0,0.0,0.7666854254840223,0.5701863450139537,0.9433433944266222,1.0,dependency,305,1
performance-now,0.5272095584493351,1,0,0.0,0.0,4469,105686498,1260,1.0,0.05,0.0,0.0,0.5399212695972272,0.6906704654275428,0.9957519247342905,1.0,dependency,492,1
proxy-addr,0.5262493038350592,1,0,0.0,0.0,4050584,185236612,205,1.0,0.05,0.0,0.0,0.9773257047298041,0.7490341843744983,0.7430665746231447,1.0,dependency,56,1
isstream,0.5262388674327539,1,0,0.0,0.0,5275,85982492,1265,1.0,0.05,0.0,0.0,0.550570469370392,0.669210533797667,0.9963038355797403,1.0,dependency,487,1
supports-color,0.5261707236693994,1,0,0.0,0.0,5765200,1446848484,87,1.0,0.05,0.0,0.0,1.0,0.9628196031346493,0.6244438167796723,1.0,seed,1,1
toposort-class,0.5239797077069916,1,0,0.0,0.0,160427,8559698,1256,1.0,0.05,0.0,0.0,0.7699190985492502,0.4292603422750082,0.995308818122829,1.0,dependency,300,1
ee-first,0.5237906916788524,1,0,0.0,0.0,2438994,204174890,1268,0.5,0.05,0.0,0.0,0.9447398614661701,0.7591584410375214,0.9966339367720459,1.0,dependency,92,1
accepts,0.5230988500255369,1,0,0.0,0.0,1717765,232420199,205,1.0,0.05,0.0,0.0,0.9222208426974162,0.772634508311664,0.7430665746231447,1.0,dependency,148,1
xml2js,0.5226260089973593,2,2,0.0,0.25,1065103,114020194,553,1.0,0.1,0.024096385542168676,0.0,0.8915186265388673,0.6985643626502497,0.8810403576211537,0.75,dependency,208,1
wkx,0.5215957042291909,1,0,0.0,0.0,160157,9419523,1113,1.0,0.05,0.0,0.0,0.7698108967197713,0.4392157546704841,0.9784651954508263,1.0,dependency,301,1
minipass,0.521572789099297,2,0,0.0,0.5,3331406,687134177,560,1.0,0.1,0.0,0.0,0.9647695168998935,0.8853752852294305,0.8827915444318232,0.5,seed,69,1
destroy,0.5213285482639918,0,0,0.0,0.0,4522290,177599571,1269,0.5,0.0,0.0,0.0,0.984401886907865,0.7446552607763228,0.9967437971074945,1.0,seed,29,0
ansi-styles,0.5190209387165492,1,0,0.0,0.0,1274606,1847943178,87,1.0,0.05,0.0,0.0,0.9030533734402155,0.9882683801659315,0.6244438167796723,1.0,seed,171,0
safe-stable-stringify,0.5179070968524075,1,0,0.0,0.0,75803,107339564,467,1.0,0.05,0.0,0.0,0.721760988510338,0.6922846561933912,0.8575126619101733,1.0,dependency,344,1
signal-exit,0.5179069461070116,0,0,0.0,0.0,1770605,646839366,860,0.5,0.0,0.0,0.0,0.9241670474369944,0.8790900326010586,0.9425358201456614,1.0,seed,144,0
scmp,0.5174481564225356,1,0,0.0,0.0,52086,9131433,1257,1.0,0.05,0.0,0.0,0.6976569727122316,0.43598513785833676,0.9954197268273937,1.0,dependency,380,1
punycode,0.5171132379212313,1,0,0.0,0.0,2016724,466243042,766,0.5,0.05,0.0,0.0,0.9325276896069294,0.8450393868430509,0.9264122810107959,1.0,dependency,126,0
long-timeout,0.5166583350966347,1,0,0.0,0.0,31182,11423249,1265,1.0,0.05,0.0,0.0,0.6647006696842696,0.45927501012259664,0.9963038355797403,1.0,dependency,399,1
cosmiconfig,0.5165908535255499,1,0,0.0,0.0,3498872,346082762,740,0.5,0.05,0.0,0.0,0.9679200966419883,0.8140425503845599,0.9216025737441053,1.0,dependency,63,1
ieee754,0.5158699674658368,2,0,0.0,0.5,1081327,247567922,866,1.0,0.1,0.0,0.0,0.8924897274555023,0.7792012478957959,0.9435043496535348,0.5,dependency,199,1
bytes,0.5157916950938869,2,0,0.0,0.0,1080038,260646691,876,0.5,0.1,0.0,0.0,0.8924131078798536,0.7845555677554885,0.9451037672813927,1.0,dependency,200,1
dottie,0.5156216380034626,1,0,0.0,0.0,161543,9155801,906,1.0,0.05,0.0,0.0,0.7703644092367308,0.43626231713956976,0.9497948268291629,1.0,dependency,299,1
sorted-array-functions,0.5155123308105058,1,0,0.0,0.0,28319,11044648,1257,1.0,0.05,0.0,0.0,0.6585143372557479,0.4557695171945227,0.9954197268273937,1.0,dependency,402,1
telecom-mas-agent,0.5153250094114868,1,83,0.0,0.0037639265281541705,0,599022368,83,1.0,0.05,1.0,0.0,0.0,0.8711024651959017,0.6179557777235603,0.9962360734718458,seed,548,132
buffer-more-ints,0.5153218267549735,1,0,0.0,0.0,47191,7679485,1271,1.0,0.05,0.0,0.0,0.6913173576130688,0.4179743929288575,0.9969632585039043,1.0,dependency,388,1
ansi-regex,0.5149205324834786,1,0,0.0,0.0,1239008,1267848471,87,1.0,0.05,0.0,0.0,0.9012337941149214,0.9490838971605201,0.6244438167796723,1.0,seed,177,0
png-js,0.5142042637464647,1,0,0.0,0.0,29287,9478550,1260,1.0,0.05,0.0,0.0,0.6606733177981942,0.43986547019787153,0.9957519247342905,1.0,dependency,401,1
@types/estree,0.5130440514677395,1,0,0.0,0.0,1849638,322433246,124,1.0,0.05,0.0,0.0,0.9269721891229792,0.8066808116103058,0.6733937569720551,1.0,dependency,136,1
