package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
aws-sign2,0.529134176954051,1,0,0.0,0.0,9743,76779515,1271,1.0,0.05,0.0,0.0,0.5899788114059875,0.6574364411267127,0.9969632585039043,1.0,dependency,451
blob-util,0.5282002526621312,1,0,0.0,0.0,62400,22292537,1271,1.0,0.05,0.0,0.0,0.7092624095223076,0.5288136000911957,0.9969632585039043,1.0,dependency,367
cachedir,0.527355855935122,1,0,0.0,0.0,152551,33183196,865,1.0,0.05,0.0,0.0,0.7666854254840223,0.5701863450139537,0.9433433944266222,1.0,dependency,305
performance-now,0.5272095584493351,1,0,0.0,0.0,4469,105686498,1260,1.0,0.05,0.0,0.0,0.5399212695972272,0.6906704654275428,0.9957519247342905,1.0,dependency,492
proxy-addr,0.5262493038350592,1,0,0.0,0.0,4050584,185236612,205,1.0,0.05,0.0,0.0,0.9773257047298041,0.7490341843744983,0.7430665746231447,1.0,dependency,56
isstream,0.5262388674327539,1,0,0.0,0.0,5275,85982492,1265,1.0,0.05,0.0,0.0,0.550570469370392,0.669210533797667,0.9963038355797403,1.0,dependency,487
supports-color,0.5261707236693994,1,0,0.0,0.0,5765200,1446848484,87,1.0,0.05,0.0,0.0,1.0,0.9628196031346493,0.6244438167796723,1.0,seed,1
toposort-class,0.5239797077069916,1,0,0.0,0.0,160427,8559698,1256,1.0,0.05,0.0,0.0,0.7699190985492502,0.4292603422750082,0.995308818122829,1.0,dependency,300
ee-first,0.5237906916788524,1,0,0.0,0.0,2438994,204174890,1268,0.5,0.05,0.0,0.0,0.9447398614661701,0.7591584410375214,0.9966339367720459,1.0,dependency,92
accepts,0.5230988500255369,1,0,0.0,0.0,1717765,232420199,205,1.0,0.05,0.0,0.0,0.9222208426974162,0.772634508311664,0.7430665746231447,1.0,dependency,148
xml2js,0.5226260089973593,2,2,0.0,0.25,1065103,114020194,553,1.0,0.1,0.024096385542168676,0.0,0.8915186265388673,0.6985643626502497,0.8810403576211537,0.75,dependency,208
wkx,0.5215957042291909,1,0,0.0,0.0,160157,9419523,1113,1.0,0.05,0.0,0.0,0.7698108967197713,0.4392157546704841,0.9784651954508263,1.0,dependency,301
minipass,0.521572789099297,2,0,0.0,0.5,3331406,687134177,560,1.0,0.1,0.0,0.0,0.9647695168998935,0.8853752852294305,0.8827915444318232,0.5,seed,69
destroy,0.5213285482639918,0,0,0.0,0.0,4522290,177599571,1269,0.5,0.0,0.0,0.0,0.984401886907865,0.7446552607763228,0.9967437971074945,1.0,seed,29
ansi-styles,0.5190209387165492,1,0,0.0,0.0,1274606,1847943178,87,1.0,0.05,0.0,0.0,0.9030533734402155,0.9882683801659315,0.6244438167796723,1.0,seed,171
safe-stable-stringify,0.5179070968524075,1,0,0.0,0.0,75803,107339564,467,1.0,0.05,0.0,0.0,0.721760988510338,0.6922846561933912,0.8575126619101733,1.0,dependency,344
signal-exit,0.5179069461070116,0,0,0.0,0.0,1770605,646839366,860,0.5,0.0,0.0,0.0,0.9241670474369944,0.8790900326010586,0.9425358201456614,1.0,seed,144
scmp,0.5174481564225356,1,0,0.0,0.0,52086,9131433,1257,1.0,0.05,0.0,0.0,0.6976569727122316,0.43598513785833676,0.9954197268273937,1.0,dependency,380
punycode,0.5171132379212313,1,0,0.0,0.0,2016724,466243042,766,0.5,0.05,0.0,0.0,0.9325276896069294,0.8450393868430509,0.9264122810107959,1.0,dependency,126
long-timeout,0.5166583350966347,1,0,0.0,0.0,31182,11423249,1265,1.0,0.05,0.0,0.0,0.6647006696842696,0.45927501012259664,0.9963038355797403,1.0,dependency,399
