source,target
@aws-sdk/credential-provider-process,@smithy/property-provider
@aws-sdk/credential-provider-process,@smithy/shared-ini-file-loader
@aws-sdk/credential-provider-process,@smithy/types
@aws-sdk/credential-provider-process,tslib
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-env
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-http
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-ini
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-process
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-sso
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-web-identity
@aws-sdk/credential-provider-node,@aws-sdk/types
@aws-sdk/credential-provider-node,@smithy/credential-provider-imds
@aws-sdk/credential-provider-node,@smithy/property-provider
@aws-sdk/credential-provider-node,@smithy/shared-ini-file-loader
@aws-sdk/credential-provider-node,@smithy/types
@aws-sdk/credential-provider-node,tslib
typed-array-byte-offset,available-typed-arrays
typed-array-byte-offset,call-bind
typed-array-byte-offset,for-each
typed-array-byte-offset,gopd
typed-array-byte-offset,has-proto
typed-array-byte-offset,is-typed-array
typed-array-byte-offset,reflect.getprototypeof
serve-static,encodeurl
serve-static,escape-html
serve-static,parseurl
serve-static,send
@aws-sdk/core,@aws-sdk/types
@aws-sdk/core,@aws-sdk/xml-builder
@aws-sdk/core,@smithy/core
@aws-sdk/core,@smithy/node-config-provider
@aws-sdk/core,@smithy/property-provider
@aws-sdk/core,@smithy/protocol-http
@aws-sdk/core,@smithy/signature-v4
@aws-sdk/core,@smithy/smithy-client
@aws-sdk/core,@smithy/types
@aws-sdk/core,@smithy/util-base64
@aws-sdk/core,@smithy/util-middleware
@aws-sdk/core,@smithy/util-utf8
@aws-sdk/core,tslib
@aws-sdk/credential-provider-ini,@aws-sdk/core
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-env
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-http
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-login
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-process
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-sso
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-web-identity
@aws-sdk/credential-provider-ini,@aws-sdk/nested-clients
@aws-sdk/credential-provider-ini,@aws-sdk/types
@aws-sdk/credential-provider-ini,@smithy/credential-provider-imds
@aws-sdk/credential-provider-ini,@smithy/property-provider
@aws-sdk/credential-provider-ini,@smithy/shared-ini-file-loader
@aws-sdk/credential-provider-ini,@smithy/types
@aws-sdk/credential-provider-ini,tslib
@babel/helper-member-expression-to-functions,@babel/traverse
@babel/helper-member-expression-to-functions,@babel/types
is-weakset,call-bound
is-weakset,get-intrinsic
typed-array-length,call-bind
typed-array-length,for-each
typed-array-length,gopd
typed-array-length,is-typed-array
typed-array-length,possible-typed-array-names
typed-array-length,reflect.getprototypeof
array-includes,call-bind
array-includes,call-bound
array-includes,define-properties
array-includes,es-abstract
array-includes,es-object-atoms
array-includes,get-intrinsic
array-includes,is-string
array-includes,math-intrinsics
@sinonjs/commons,type-detect
jest-resolve,chalk
jest-resolve,graceful-fs
jest-resolve,jest-haste-map
jest-resolve,jest-pnp-resolver
jest-resolve,jest-util
jest-resolve,jest-validate
jest-resolve,slash
jest-resolve,unrs-resolver
babel-plugin-istanbul,@babel/helper-plugin-utils
babel-plugin-istanbul,@istanbuljs/load-nyc-config
babel-plugin-istanbul,@istanbuljs/schema
babel-plugin-istanbul,istanbul-lib-instrument
babel-plugin-istanbul,test-exclude
@babel/helper-replace-supers,@babel/traverse
@babel/helper-replace-supers,@babel/helper-optimise-call-expression
@babel/helper-replace-supers,@babel/helper-member-expression-to-functions
find-cache-dir,pkg-dir
find-cache-dir,common-path-prefix
@babel/plugin-syntax-typescript,@babel/helper-plugin-utils
@babel/helper-create-class-features-plugin,@babel/helper-annotate-as-pure
@babel/helper-create-class-features-plugin,@babel/helper-member-expression-to-functions
@babel/helper-create-class-features-plugin,@babel/helper-optimise-call-expression
@babel/helper-create-class-features-plugin,@babel/helper-replace-supers
@babel/helper-create-class-features-plugin,@babel/helper-skip-transparent-expression-wrappers
@babel/helper-create-class-features-plugin,@babel/traverse
@babel/helper-create-class-features-plugin,semver
@aws-sdk/util-user-agent-node,@aws-sdk/middleware-user-agent
@aws-sdk/util-user-agent-node,@aws-sdk/types
@aws-sdk/util-user-agent-node,@smithy/node-config-provider
@aws-sdk/util-user-agent-node,@smithy/types
@aws-sdk/util-user-agent-node,tslib
