Source,Target,Type
306,336,Directed
306,347,Directed
558,20,Directed
558,35,Directed
558,71,Directed
558,1532,Directed
340,14,Directed
340,10,Directed
340,16,Directed
340,1137,Directed
340,173,Directed
1654,2177,Directed
123,1263,Directed
123,1333,Directed
123,1783,Directed
68,245,Directed
68,128,Directed
68,1140,Directed
68,189,Directed
68,459,Directed
102,32,Directed
102,1937,Directed
102,67,Directed
102,785,Directed
102,248,Directed
678,543,Directed
678,1539,Directed
388,970,Directed
1483,1688,Directed
1483,307,Directed
674,741,Directed
1039,404,Directed
1113,37,Directed
939,1469,Directed
939,356,Directed
939,63,Directed
939,1478,Directed
939,188,Directed
939,1262,Directed
462,20,Directed
462,71,Directed
462,1532,Directed
335,20,Directed
335,35,Directed
335,71,Directed
335,1532,Directed
820,4,Directed
820,392,Directed
820,1055,Directed
820,1435,Directed
1055,27,Directed
1055,270,Directed
392,1273,Directed
392,1308,Directed
392,1288,Directed
392,1280,Directed
392,1275,Directed
392,1285,Directed
392,1274,Directed
392,1378,Directed
995,23,Directed
995,377,Directed
995,22,Directed
845,990,Directed
278,754,Directed
336,216,Directed
336,269,Directed
371,1992,Directed
1565,139,Directed
1565,526,Directed
1265,10,Directed
47,160,Directed
47,228,Directed
47,291,Directed
47,131,Directed
355,20,Directed
355,35,Directed
355,71,Directed
355,1532,Directed
859,692,Directed
223,495,Directed
223,231,Directed
223,393,Directed
223,1093,Directed
223,1187,Directed
223,831,Directed
223,1080,Directed
223,376,Directed
223,227,Directed
223,453,Directed
223,1155,Directed
223,43,Directed
223,367,Directed
223,353,Directed
223,1993,Directed
1097,10,Directed
1309,796,Directed
1090,32,Directed
1069,173,Directed
1069,27,Directed
1069,176,Directed
1069,13,Directed
1069,55,Directed
1069,216,Directed
619,210,Directed
619,423,Directed
664,708,Directed
152,423,Directed
152,212,Directed
152,895,Directed
152,1813,Directed
719,10,Directed
719,1006,Directed
719,242,Directed
237,777,Directed
237,400,Directed
237,360,Directed
237,227,Directed
237,137,Directed
1534,696,Directed
345,137,Directed
345,448,Directed
1389,1534,Directed
1389,1934,Directed
1389,696,Directed
1389,1935,Directed
1389,1057,Directed
347,269,Directed
347,336,Directed
255,6,Directed
255,588,Directed
255,16,Directed
255,118,Directed
255,416,Directed
255,155,Directed
255,249,Directed
255,278,Directed
255,537,Directed
1441,737,Directed
1345,363,Directed
1345,137,Directed
1345,152,Directed
1013,72,Directed
713,298,Directed
1406,230,Directed
1406,197,Directed
1406,587,Directed
1007,1013,Directed
872,10,Directed
231,20,Directed
231,35,Directed
231,71,Directed
231,1,Directed
231,1532,Directed
231,3,Directed
231,294,Directed
231,2056,Directed
729,10,Directed
596,1961,Directed
596,133,Directed
596,122,Directed
596,1786,Directed
596,39,Directed
488,91,Directed
488,151,Directed
488,10,Directed
488,729,Directed
251,388,Directed
750,10,Directed
608,1464,Directed
608,4,Directed
608,176,Directed
608,1766,Directed
608,2006,Directed
1444,151,Directed
1444,10,Directed
1444,750,Directed
399,2157,Directed
399,1073,Directed
399,40,Directed
585,1961,Directed
585,133,Directed
585,122,Directed
585,1911,Directed
767,220,Directed
767,23,Directed
767,173,Directed
640,1961,Directed
640,133,Directed
640,122,Directed
640,40,Directed
1225,40,Directed
1182,1786,Directed
1182,39,Directed
1179,1786,Directed
1179,39,Directed
1556,169,Directed
1214,40,Directed
1229,40,Directed
679,35,Directed
679,174,Directed
543,2005,Directed
1223,40,Directed
38,2142,Directed
38,1405,Directed
38,1129,Directed
38,2146,Directed
38,1958,Directed
38,2135,Directed
38,2133,Directed
38,2152,Directed
38,2050,Directed
38,1492,Directed
38,2002,Directed
38,1960,Directed
38,1132,Directed
38,1410,Directed
38,2164,Directed
38,1299,Directed
38,2129,Directed
38,1999,Directed
38,2033,Directed
38,2031,Directed
38,1995,Directed
38,1987,Directed
38,1950,Directed
38,1962,Directed
38,1626,Directed
38,1575,Directed
38,1131,Directed
38,2181,Directed
38,166,Directed
38,2145,Directed
38,1967,Directed
38,1990,Directed
38,2141,Directed
38,1400,Directed
38,2180,Directed
38,1201,Directed
38,1434,Directed
38,1681,Directed
38,134,Directed
38,11,Directed
38,1232,Directed
38,821,Directed
38,1481,Directed
38,1479,Directed
38,1214,Directed
38,1588,Directed
38,771,Directed
38,1182,Directed
38,1179,Directed
38,585,Directed
38,596,Directed
38,640,Directed
38,1236,Directed
38,1086,Directed
38,1234,Directed
38,1223,Directed
38,1457,Directed
38,1472,Directed
38,1200,Directed
38,779,Directed
38,1326,Directed
38,399,Directed
38,1644,Directed
38,1376,Directed
38,1476,Directed
38,1323,Directed
38,1229,Directed
38,1460,Directed
38,1225,Directed
697,35,Directed
697,174,Directed
1234,40,Directed
115,211,Directed
115,227,Directed
115,5,Directed
1236,40,Directed
1326,39,Directed
771,647,Directed
771,133,Directed
771,122,Directed
771,166,Directed
771,1786,Directed
779,647,Directed
779,133,Directed
779,122,Directed
