package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@types/aria-query,1,0,0.000000,False,1229544,91049634,0
@types/babel__core,2,5,0.000100,True,1905481,171255579,1334
@types/babel__generator,1,1,0.000000,True,1904638,177967653,1335
@types/babel__template,1,2,0.000000,True,1904343,171672741,1336
@types/babel__traverse,1,1,0.000000,True,1905607,176246772,1333
@types/body-parser,1,2,0.000000,True,1492415,133109792,1902
@types/bonjour,1,1,0.000000,False,967710,43645484,0
@types/connect,1,1,0.000000,True,1498356,109908397,1797
@types/connect-history-api-fallback,1,2,0.000000,False,1071944,47705873,0
@types/cors,1,1,0.000000,False,459469,54958097,0
@types/eslint,2,2,0.000000,True,1741976,113374649,1532
@types/eslint-scope,1,4,0.000000,False,1270808,92469632,0
@types/esrecurse,1,0,0.000000,False,0,171114,0
@types/estree,7,0,0.000000,True,1849638,331538814,1361
@types/express,2,3,0.000000,True,1528059,151008766,1782
@types/express-serve-static-core,3,4,0.000000,True,1503898,173229922,1796
@types/glob,0,1,0.000000,True,2055129,66072578,1160
@types/graceful-fs,0,1,0.000000,True,1747353,117422963,1528
@types/html-minifier-terser,1,0,0.000000,True,1431560,47101977,1941
@types/http-errors,1,0,0.000000,False,473594,109972059,0
@types/http-proxy,1,1,0.000067,False,1241955,64319555,0
@types/istanbul-lib-coverage,4,0,0.000000,True,1996416,144905198,1195
@types/istanbul-lib-report,1,1,0.000000,True,1972820,153103738,1305
@types/istanbul-reports,1,1,0.000033,True,1972747,175281056,1306
@types/jsdom,2,3,0.000000,False,76626,53476429,0
@types/json-schema,4,0,0.000000,True,1742087,252179781,1531
@types/json5,0,1,0.000000,True,1794713,131832855,1385
@types/mime,0,1,0.000000,True,1509678,127467979,1790
@types/minimatch,0,1,0.000000,True,2087826,77469696,1141
@types/node,34,1,0.000067,False,1060374,569923996,0
@types/normalize-package-data,0,0,0.000000,True,1399447,87490666,1961
@types/parse-json,0,1,0.000000,True,1793430,108693072,1386
@types/prettier,0,1,0.000000,True,1748823,56102213,1527
@types/prop-types,0,0,0.000000,True,1478506,116654672,1907
@types/q,1,0,0.000000,True,2619172,28071936,718
@types/qs,1,0,0.000000,True,1515716,138214277,1786
@types/range-parser,1,0,0.000000,True,1490192,121048564,1904
@types/react,0,1,0.000000,True,1507685,202959097,1793
@types/resolve,1,0,0.000000,False,1339219,70880877,0
@types/scheduler,0,0,0.000000,True,1346958,36582253,1994
@types/send,1,1,0.000000,False,542240,146303193,0
