Id,Label,package,in_degree,out_degree,betweenness,risk_score,is_topN,dependents_count,downloads,rank,is_seed
160,@babel/plugin-transform-modules-umd,@babel/plugin-transform-modules-umd,1,2,0.000000,0.008442,True,4122709,134085644,1537,True
161,@babel/plugin-transform-named-capturing-groups-regex,@babel/plugin-transform-named-capturing-groups-regex,1,2,0.000000,0.008442,True,4023362,122243550,1736,True
162,@babel/plugin-transform-new-target,@babel/plugin-transform-new-target,1,1,0.000000,0.006033,True,4121285,119795588,1766,True
163,@babel/plugin-transform-nullish-coalescing-operator,@babel/plugin-transform-nullish-coalescing-operator,1,1,0.000000,0.006033,False,0,0,0,False
164,@babel/plugin-transform-numeric-separator,@babel/plugin-transform-numeric-separator,1,1,0.000000,0.006033,False,0,0,0,False
165,@babel/plugin-transform-object-rest-spread,@babel/plugin-transform-object-rest-spread,1,5,0.000000,0.015671,False,0,0,0,False
166,@babel/plugin-transform-object-super,@babel/plugin-transform-object-super,1,2,0.000000,0.008442,True,4246877,121577803,1748,True
167,@babel/plugin-transform-optional-catch-binding,@babel/plugin-transform-optional-catch-binding,1,1,0.000000,0.006033,False,0,0,0,False
168,@babel/plugin-transform-optional-chaining,@babel/plugin-transform-optional-chaining,2,2,0.000000,0.012066,True,512858,109213542,1968,True
169,@babel/plugin-transform-parameters,@babel/plugin-transform-parameters,2,1,0.000000,0.009656,True,4270525,129323445,1571,True
170,@babel/plugin-transform-private-methods,@babel/plugin-transform-private-methods,1,2,0.000000,0.008442,False,0,0,0,False
171,@babel/plugin-transform-private-property-in-object,@babel/plugin-transform-private-property-in-object,1,3,0.000000,0.010852,False,0,0,0,False
172,@babel/plugin-transform-property-literals,@babel/plugin-transform-property-literals,1,1,0.000000,0.006033,True,4006289,120448544,1757,True
173,@babel/plugin-transform-regenerator,@babel/plugin-transform-regenerator,1,1,0.000000,0.006033,True,4248651,120276775,1759,True
174,@babel/plugin-transform-regexp-modifiers,@babel/plugin-transform-regexp-modifiers,1,2,0.000000,0.008442,False,0,0,0,False
175,@babel/plugin-transform-reserved-words,@babel/plugin-transform-reserved-words,1,1,0.000000,0.006033,True,3878658,118501026,1776,True
176,@babel/plugin-transform-shorthand-properties,@babel/plugin-transform-shorthand-properties,1,1,0.000000,0.006033,True,4263112,124350193,1723,True
177,@babel/plugin-transform-spread,@babel/plugin-transform-spread,1,2,0.000000,0.008442,True,4263601,114970604,1915,True
178,@babel/plugin-transform-sticky-regex,@babel/plugin-transform-sticky-regex,1,1,0.000000,0.006033,True,4242424,120283813,1758,True
179,@babel/plugin-transform-template-literals,@babel/plugin-transform-template-literals,1,1,0.000000,0.006033,True,4263671,129490321,1569,True
180,@babel/plugin-transform-typeof-symbol,@babel/plugin-transform-typeof-symbol,1,1,0.000000,0.006033,True,4123498,115455601,1909,True
181,@babel/plugin-transform-unicode-escapes,@babel/plugin-transform-unicode-escapes,1,1,0.000000,0.006033,True,2483613,115139963,1912,True
182,@babel/plugin-transform-unicode-property-regex,@babel/plugin-transform-unicode-property-regex,1,2,0.000000,0.008442,False,0,0,0,False
183,@babel/plugin-transform-unicode-regex,@babel/plugin-transform-unicode-regex,1,2,0.000000,0.008442,True,4242441,120622515,1755,True
